income,state,street,postal
124229,Washington,177 Kipling,98498
99872,Minnesota,4 Everett,55172
113767,Florida,143 Homewood,33180
90100,Massachusetts,8922 Hoepker,01654
80648,Texas,03496 Rutledge,78759
118986,Virginia,4 Brickson Park,23213
100186,North Carolina,932 Kenwood,28305
145301,Tennessee,7 Morningstar,37939
133320,California,65804 Banding,90605
120563,Nevada,08507 South,89714
96242,Kansas,3 Mccormick,66629
122623,Ohio,47463 Old Shore,45020
112721,Connecticut,0 Sommers,06533
110896,Kentucky,59142 Florence,40215
130073,Alaska,2507 Farmco,99599
87926,California,7914 Rigney,95133
113310,Indiana,470 Chinook,46614
118323,Utah,85 Sunbrook,84409
138098,Florida,4 Saint Paul,33715
129726,Missouri,41 Everett,64199
78450,California,98 Trailsway,93584
111445,West Virginia,23 Division,25711
148643,Texas,03 High Crossing,76505
123060,Colorado,31 Westridge,81005
83737,California,9 Bay,93721
128363,Kentucky,9581 Pleasure,40210
80234,Colorado,28715 Dorton,80161
129647,New Jersey,11148 Amoth,08638
127077,New York,0 Sheridan,10131
82482,Tennessee,2732 Miller,38143
74113,Texas,5 Sherman,77030
90867,New York,6253 Heffernan,10310
144290,Virginia,247 American,23471
126350,California,92 Victoria,91186
119963,Michigan,7 Buhler,49544
147033,Virginia,5 Blue Bill Park,22903
90329,Missouri,8871 Melby,63131
148262,California,2 Pepper Wood,93291
147733,Ohio,505 Bartelt,45414
98257,Kansas,3447 South,67210
81684,Kentucky,64273 Spohn,40225
109615,North Carolina,4 Maywood,27705
94274,Wisconsin,45301 Dakota,53215
111348,District of Columbia,64876 Hollow Ridge,20010
78931,Montana,81 Becker,59806
149942,New York,09 Kensington,11254
144300,Ohio,9549 Homewood,43210
88476,Arizona,66 Huxley,85010
106293,Illinois,004 Tennyson,60609
71412,Mississippi,7 Ridgeview,39705
73841,Colorado,59 Arizona,80995
89390,Indiana,85 Daystar,46814
81408,Pennsylvania,070 Sachs,19120
139218,Alabama,39895 Kipling,35815
80515,North Carolina,3547 Ridgeway,27605
119778,Texas,071 Homewood,77240
129179,Indiana,33 Garrison,46614
80437,Illinois,9521 Chive,60193
145988,Ohio,469 Burning Wood,44555
99520,Florida,37 Anthes,33069
118556,Illinois,279 Merchant,60624
99234,Utah,19075 Myrtle,84605
142824,Kentucky,9 Maple Wood,40618
82097,Michigan,82744 Green Ridge,48919
124654,Texas,269 Sunfield,79491
75003,California,75 Hanson,93291
144943,Georgia,9229 Golf,30311
90891,Texas,13 Lighthouse Bay,77255
125217,Arizona,7 Arrowood,85045
134093,North Dakota,4887 8th,58122
97622,Louisiana,017 Birchwood,70187
72477,Missouri,797 Alpine,64190
99149,Oregon,275 Acker,97271
81506,Pennsylvania,6 Clyde Gallagher,19172
109722,Texas,4 Eggendart,75287
116588,Florida,29 Schmedeman,32919
102863,Tennessee,111 Westport,37228
132934,New York,895 Milwaukee,11480
91395,Iowa,897 Fair Oaks,50706
74972,Tennessee,2894 Donald,38114
118055,Texas,742 Ridgeway,75260
89054,West Virginia,915 Norway Maple,25726
141617,Texas,899 Forest,76705
135798,Iowa,996 Debs,52245
134113,Ohio,321 Thierer,45228
108444,Nevada,6876 Park Meadow,89510
108576,Texas,3213 Kipling,75221
105932,Kentucky,67 Sunbrook,40298
78752,Texas,0575 Dryden,75044
95976,Pennsylvania,584 Roth,19093
96508,Maryland,12987 Burning Wood,21203
122144,Hawaii,65 Susan,96805
131659,New York,02 Glacier Hill,10024
130834,Kansas,823 Ohio,66667
144275,Missouri,52502 Pierstorff,65110
105037,Oregon,88 Sherman,97229
135769,Pennsylvania,400 Hallows,19196
71118,Pennsylvania,39 Brentwood,19093
83182,Minnesota,0930 Gerald,55585
125214,New York,34 Bultman,12205
120962,Florida,047 7th,33954
102891,Alabama,95 Marquette,36125
79415,California,25761 New Castle,92844
108596,Georgia,849 Upham,30919
145643,Arizona,22143 Lotheville,85099
133459,New York,55 Arrowood,10275
120551,California,43882 Carey,95405
101810,California,25642 Sutteridge,90015
122383,California,3 Fordem,91125
105046,Indiana,66986 Gerald,47725
146286,Texas,22643 Northfield,88553
85925,Kansas,27 Gulseth,66611
110182,Tennessee,68463 Sage,37228
73051,Missouri,6 Ridge Oak,64054
101294,Texas,05 Ridgeway,79452
95307,Minnesota,57 Goodland,55905
99122,Arizona,3175 Northwestern,85030
73505,New York,35 Pawling,11054
81511,Oklahoma,8475 Manitowish,73167
72274,Montana,8 Spenser,59806
103852,Nevada,8721 Armistice,89178
122902,Minnesota,052 Dennis,55412
107332,Texas,21 Clyde Gallagher,88519
73420,Texas,85 New Castle,75044
82577,New York,7091 Hanover,11254
79309,Texas,0677 Dexter,77260
85391,California,6314 Waubesa,93291
82829,Arizona,8754 Bluestem,85715
70135,Indiana,5453 Manley,47134
100560,Nebraska,9598 Birchwood,68524
105804,Florida,4095 Bunting,33625
134427,Florida,52 Washington,33448
90461,Missouri,913 Ryan,63167
122696,New York,77 Farmco,12255
110928,California,73 Erie,90410
144297,California,6859 Corscot,90810
110236,Delaware,544 Fairview,19805
76744,District of Columbia,52 Maywood,20591
117998,Connecticut,088 Wayridge,06533
77218,Indiana,75 Kenwood,46216
145997,North Dakota,130 Morning,58106
142587,Pennsylvania,08608 Del Mar,17121
99603,Kentucky,81 Debra,40280
108422,New York,1 Briar Crest,11044
117496,Florida,7 Rigney,33884
128279,New York,80 Oneill,11024
139846,Georgia,307 Pennsylvania,30096
107855,Florida,7579 Moland,33432
75045,New York,07 Summerview,13217
137767,Washington,9511 Sloan,98121
149571,Minnesota,6 Kingsford,55446
131656,Pennsylvania,55 Northport,17605
109865,Texas,657 Corscot,75265
97081,Texas,66802 Valley Edge,78210
106125,Iowa,2 Ridge Oak,50315
110590,California,7 Shoshone,95852
118957,Missouri,9932 Parkside,63143
77560,California,65361 Artisan,95113
128915,Texas,46 Sycamore,79945
97924,Washington,72363 Randy,98907
87923,Hawaii,942 La Follette,96835
144049,Illinois,9220 Cardinal,62776
129837,Pennsylvania,688 Luster,15286
138835,Maryland,5 Mayfield,20910
142580,Idaho,59 Pond,83757
103229,Alabama,3264 Maple,36195
82972,New York,2 Sycamore,11480
134527,California,0 Knutson,92822
119945,California,5 Clove,92191
120550,Texas,51204 Di Loreto,88525
74827,Oregon,9326 6th,97286
83622,California,95963 Huxley,92186
80996,New York,3 Lawn,12247
88574,Pennsylvania,8 Dovetail,15215
98626,District of Columbia,2726 Graceland,20430
91748,Virginia,1 Mandrake,24515
74615,Illinois,8 Kropf,60567
96489,Minnesota,489 David,56398
91650,Kentucky,8 Muir,40205
70106,Florida,78 Buena Vista,33134
95280,Wisconsin,48 Hermina,54305
74073,Florida,95 Carey,33245
137930,Texas,59 Division,77266
135726,Nevada,84767 Rutledge,89505
103086,Texas,53454 Burning Wood,77281
108072,Nevada,90 Orin,89105
131556,Arizona,352 Atwood,85067
116881,Tennessee,7448 Maple Wood,37410
121534,Kansas,1107 Jay,66276
109403,Utah,8 Mosinee,84110
92397,Texas,835 Waubesa,75392
88958,Texas,15 Saint Paul,78415
97296,Colorado,22 Dottie,80328
77868,Virginia,76 Westridge,24014
120360,Colorado,1 Kim,80299
70852,West Virginia,0748 Fair Oaks,25709
100082,Oklahoma,94 Grim,74149
116391,Massachusetts,74 Pierstorff,01813
114572,Ohio,0 Messerschmidt,45432
73939,California,62261 Roth,91109
129761,New York,7946 Valley Edge,11407
120043,Texas,8926 Lyons,79994
96605,Florida,4 Magdeline,33421
133977,Missouri,10 Cottonwood,65218
99770,Texas,532 Ramsey,77228
145100,Missouri,80161 Anderson,64160
82394,District of Columbia,202 Springs,20425
125984,New York,504 Superior,12237
100909,Georgia,54934 Fuller,30340
72437,Tennessee,445 Luster,37228
127806,Ohio,25303 Pierstorff,44555
139709,California,92 Pawling,94975
124653,California,13394 Nevada,90060
140794,Connecticut,84 Farmco,06533
90933,Tennessee,57843 Bay,38188
149111,North Carolina,76 Northland,28289
138212,Illinois,2 Pearson,60208
140545,New York,588 South,10606
127024,New Jersey,32617 Sunfield,08650
73826,Minnesota,9 Red Cloud,55412
141759,Maryland,23440 Columbus,20851
141380,Texas,1 Parkside,77085
116593,California,497 Lyons,94169
73689,Texas,743 Fairfield,78405
142921,Texas,573 Summerview,77493
86366,Georgia,7 Little Fleur,30061
98099,Nevada,4614 Bayside,89115
119085,Ohio,52353 Kropf,45223
95737,District of Columbia,23 Petterle,20310
112584,Virginia,9 Lakeland,22212
143577,Texas,1 Briar Crest,75260
82960,Pennsylvania,0198 Dawn,16550
110276,Texas,0 Grasskamp,78744
81155,Tennessee,219 Charing Cross,37250
107181,Indiana,4482 Di Loreto,47805
139355,California,630 Linden,94116
103755,District of Columbia,02671 Arkansas,20566
120068,Florida,61 Holmberg,32891
87586,Georgia,39643 Nelson,31106
147152,Florida,4210 Maryland,33963
149214,Montana,94525 Memorial,59112
147821,North Carolina,26212 Oriole,28225
110698,Texas,8 Shoshone,88546
121033,Ohio,42212 Clyde Gallagher,45408
100140,California,54238 Main,91131
141301,New York,26646 Sage,11407
83549,California,6752 Pawling,92717
114451,Kansas,2 Declaration,66210
109218,Nebraska,793 Fair Oaks,68531
143490,Wisconsin,6 Porter,53785
124732,Kansas,36 Weeping Birch,66112
146340,New Jersey,21323 South,07522
107312,Minnesota,66 Lillian,55188
95906,South Dakota,95099 Dryden,57193
117804,Texas,3340 Clyde Gallagher,78769
92867,Arizona,4412 Walton,85015
76029,California,2 Hintze,94132
145734,Ohio,45973 Havey,45470
111839,Georgia,45 Warbler,30092
95087,Indiana,2 Green Ridge,46699
112947,Oregon,40 2nd,97075
81835,Massachusetts,216 High Crossing,02405
108982,North Carolina,2444 Hollow Ridge,27150
98147,North Carolina,49143 Kedzie,28284
100721,Alaska,53 Debra,99507
85936,Nebraska,603 Heffernan,68531
73731,Florida,7876 Parkside,33069
138909,Ohio,3 Ridgeway,44393
128054,Pennsylvania,174 Erie,17121
119964,District of Columbia,40272 Schurz,20546
138666,District of Columbia,013 Fulton,20535
79697,South Carolina,76027 Clyde Gallagher,29416
84556,Oregon,97 Kedzie,97405
96244,Florida,1671 Harbort,33023
144048,Minnesota,97988 Ryan,55470
133261,North Carolina,55131 Fieldstone,27635
138682,Wisconsin,1971 Union,53405
149536,Arizona,9444 Carioca,85040
96222,California,011 Green Ridge,92145
125589,Virginia,1736 Dayton,23228
87313,California,347 American Ash,95354
118559,Florida,886 Amoth,33141
87621,New York,7 Dennis,10270
81944,Florida,0204 Myrtle,34949
89530,Pennsylvania,54489 Lyons,19120
128894,Florida,3509 Monument,33023
70320,New York,3 Oriole,14220
78876,Connecticut,82740 Center,06140
76210,Texas,217 Barby,88514
134031,Wisconsin,421 Valley Edge,54305
109613,Oklahoma,1376 Vidon,73152
108635,Washington,582 Clemons,98042
127448,Louisiana,6 Everett,71137
91310,Washington,2 Monument,98166
73197,Arkansas,7484 Superior,72222
77008,Virginia,91891 Anthes,22036
88271,Virginia,65 Norway Maple,22111
112853,Texas,80 Alpine,77075
70754,Texas,818 Lillian,76705
77801,Colorado,5 Eliot,81505
110613,Ohio,110 Golf Course,45208
85447,California,55 Schmedeman,91913
116994,Louisiana,2 Kennedy,70183
71601,Connecticut,785 Nelson,06152
95140,Kentucky,9 Duke,40205
127274,Colorado,9 Sugar,80291
130094,Tennessee,3468 Browning,37228
78829,California,965 Warbler,95108
122156,Michigan,52443 Sutherland,48919
134272,Iowa,4702 Farwell,51105
147503,Ohio,39 Fuller,45223
101482,Arizona,80190 Londonderry,85053
78551,District of Columbia,1070 Maryland,20546
74258,Florida,3590 Bunting,33124
81227,California,9879 Summit,92835
71265,New Hampshire,765 Tennessee,03105
121085,Mississippi,1 Eliot,39296
133740,Ohio,4021 Merrick,44710
121426,Texas,5760 Service,76544
148775,Michigan,3 Almo,48609
128810,Minnesota,5959 Talmadge,55579
124274,Virginia,20 Arizona,23237
143150,Florida,705 Redwing,34629
113457,Texas,8 Butterfield,76210
147813,California,45 Elgar,93005
120375,California,3331 Grim,95828
93888,California,2402 Pepper Wood,92415
71145,Oregon,5070 Kings,97312
143978,Oklahoma,49 Sunnyside,73109
140553,Texas,087 Sloan,75062
114841,Indiana,28 Tony,46015
104121,North Carolina,23789 Stone Corner,27705
97115,Pennsylvania,9 Longview,15255
102337,Pennsylvania,3 Eagle Crest,17126
134588,Michigan,14455 Bonner,48217
98197,Georgia,7001 Buell,31410
91309,Texas,59545 Gina,76121
128228,Texas,4 Eliot,77095
125034,Michigan,0 Saint Paul,48912
118454,Arizona,266 Badeau,85305
123359,Iowa,1 Duke,50393
104136,Indiana,69 Mccormick,46266
110207,California,4 Sunbrook,92878
102936,North Carolina,75 Fordem,27499
148718,Alabama,743 Truax,36670
73079,Kentucky,31122 Annamark,40210
109241,Illinois,43978 Clyde Gallagher,62776
81418,California,3 Lakewood Gardens,91103
115348,Florida,16623 John Wall,32830
112120,Minnesota,1 Anzinger,55585
99426,Texas,5345 Oriole,75323
131489,Colorado,9031 Monument,80905
141752,Ohio,890 Prairieview,44315
143283,Florida,48938 Ryan,32819
134067,Florida,7334 Kinsman,34210
103798,Texas,97 Thackeray,77065
141598,Arizona,14206 Arrowood,85205
135213,Missouri,510 Acker,64114
144521,Florida,8074 Fordem,33169
76563,Arkansas,0 Mifflin,72199
132350,Florida,365 Evergreen,33345
116576,Virginia,71750 Upham,22205
128372,Illinois,31948 Dunning,60193
114479,Florida,45 Goodland,33233
135080,Texas,4466 Longview,75287
76787,California,83 Loomis,93386
81570,District of Columbia,9526 Loomis,20215
75824,Virginia,81 Springs,22903
132777,Georgia,95 Almo,31296
126767,District of Columbia,835 Shasta,20591
107749,New York,676 Melvin,11225
127306,Kansas,8 Graceland,66699
137475,Arizona,14223 Thierer,85215
85764,Kansas,92087 Graceland,66215
99505,Virginia,0678 Fremont,20195
114255,Minnesota,33636 Hanover,55805
124336,West Virginia,058 Summit,25356
134744,Michigan,0412 Village,49444
138015,Texas,4 Upham,78410
122020,Arkansas,4680 Atwood,72209
113586,Pennsylvania,0 Elka,19125
146198,Texas,53957 Ludington,77206
109048,Kansas,58 Manley,66210
131180,New York,7 Summit,10633
79634,California,292 Amoth,94544
125225,Colorado,61 Northridge,80940
102709,New York,2 Graceland,10464
85201,Florida,516 Independence,32941
137632,New York,2817 Badeau,14263
137713,Ohio,20031 Melody,44760
141755,Florida,92783 David,34642
139772,Florida,0 Vermont,34210
113918,District of Columbia,9621 Lakewood,20244
137526,New York,61940 Ohio,11220
77243,Texas,27 Eagle Crest,78296
141223,Vermont,53 Fairfield,05609
139524,Nevada,7 Longview,89166
94162,California,36590 Warbler,90065
74904,North Carolina,478 Blue Bill Park,28272
120605,Tennessee,11 Hoepker,37914
98589,Missouri,4835 Jana,64149
104435,South Dakota,89 Northwestern,57193
140197,Pennsylvania,3180 Shelley,19141
127167,Texas,3 Eagle Crest,77045
88983,North Carolina,045 Donald,28230
108784,Illinois,15 Village Green,60567
117180,Alabama,9432 Summit,36670
122204,Iowa,40 Anderson,51110
93251,New York,47184 Comanche,11470
108205,Georgia,52758 Reinke,30375
73526,Connecticut,540 Luster,06726
83553,New York,2816 Sundown,11431
92169,South Carolina,62 Heath,29411
91206,Texas,164 Summerview,79984
104132,Maryland,75 Granby,21275
139418,Alabama,6719 Dryden,35405
95784,Massachusetts,69356 Stoughton,02142
112021,Hawaii,89393 Anniversary,96810
107542,Ohio,27485 Nova,45264
137458,District of Columbia,3562 Rutledge,20337
94549,Alaska,9 Glacier Hill,99599
140520,New Mexico,0034 Declaration,87110
74765,Oklahoma,91 Lyons,74126
112576,New York,3213 Mallory,10150
140810,Louisiana,19 Arapahoe,71105
85863,Florida,84681 Pierstorff,32859
113031,Colorado,7065 Golf,80951
131796,Florida,5 Hansons,32277
96834,Minnesota,348 Golf Course,55127
128907,Pennsylvania,4512 Claremont,17605
102504,Nevada,880 Fordem,89550
93715,Indiana,42884 Ridge Oak,47705
136790,Oklahoma,9142 Pepper Wood,74108
113142,Arizona,49 Mesta,85720
138866,North Carolina,2919 Oakridge,28314
96341,Nevada,3 Judy,89135
138605,New York,282 Forest,14210
74170,New York,0 Loeprich,13224
82886,Utah,09032 Sheridan,84145
114399,Virginia,8 Sauthoff,23213
115716,Florida,5635 Cherokee,33737
75763,Minnesota,6532 Arizona,55573
125965,Maryland,1 Debs,20892
96871,Pennsylvania,8007 Emmet,19151
120239,Louisiana,548 Holy Cross,70815
120954,Washington,58 Eagan,98140
132388,Georgia,14138 Scofield,30905
95460,California,84 Barby,94807
116556,Virginia,7 Summer Ridge,24024
122460,Oklahoma,82 Holmberg,73034
143486,California,77 Summerview,92645
98505,Florida,9 Village,34276
77143,Indiana,54133 Magdeline,47732
109167,Washington,28 Jenna,99252
134689,Georgia,6670 Sunnyside,30022
133299,Utah,3115 Hagan,84135
104318,Florida,8297 Namekagon,32595
115177,California,17404 Melby,90045
129085,Florida,327 Thierer,34290
128506,New Jersey,3 Londonderry,07505
145988,California,64 Hudson,95123
132834,New York,2 Bobwhite,10292
91117,Florida,58 Carioca,32605
125784,Illinois,80831 Glendale,61635
81660,Virginia,86109 Kinsman,22184
91274,Illinois,53 Iowa,62705
143680,Oklahoma,178 Onsgard,73109
70163,California,9300 Porter,94273
132186,California,19780 International,90025
82326,District of Columbia,9 Waxwing,20404
77795,North Carolina,9824 Raven,27110
80543,New York,272 Clyde Gallagher,10260
109913,Indiana,52659 Lillian,46266
84076,Florida,76015 American Ash,33543
112074,Florida,7 Acker,32885
96388,Texas,30967 Loftsgordon,88579
99929,Maryland,46 Paget,21282
98668,Kentucky,40233 Toban,40256
140627,Texas,207 Hoffman,75231
97186,California,30390 Hoepker,92127
107463,Oklahoma,31 Buena Vista,73129
105765,Florida,96799 Waxwing,32854
147955,Kansas,3633 Annamark,66112
101155,Nevada,0 Vahlen,89036
114797,New York,6 Thackeray,11355
84804,Colorado,1 Chinook,81505
75948,California,32412 Sachs,93726
74809,Wisconsin,55 Hollow Ridge,53705
73565,California,19 Shelley,95298
97764,Texas,15096 Duke,78789
93003,Illinois,85601 Express,61614
137547,California,49 Sheridan,95150
74232,New York,27 Gateway,11431
76906,Ohio,41432 Bunker Hill,45254
135949,California,599 Blackbird,94089
125044,New York,426 Darwin,10029
97669,South Carolina,31 Bluejay,29805
93767,Pennsylvania,7925 Clyde Gallagher,17140
124935,Virginia,2 Graedel,23242
147237,Maryland,5 Sunbrook,20904
112328,Ohio,89003 Golf View,44321
115599,New York,987 Clyde Gallagher,12227
133223,New York,4 Delladonna,10115
144532,Indiana,4 Kensington,46825
140930,Connecticut,38 Luster,06127
73766,Minnesota,9131 Esker,55598
111860,Oregon,334 Bunting,97206
121291,Texas,767 Oriole,75205
133627,Texas,4476 Bultman,78210
146052,Texas,7 Stuart,78744
84075,Tennessee,55 Coolidge,37220
109186,California,7 Moulton,94230
144244,Maryland,262 Bultman,20719
142914,Ohio,90148 Fisk,45271
84699,Illinois,26799 Westerfield,62525
77841,Pennsylvania,1121 Buell,19115
97168,Oklahoma,1 Forest,73109
136652,New Mexico,44678 Drewry,87180
129556,Louisiana,5 Ridgeview,70187
133200,Delaware,554 7th,19892
98659,Florida,01780 Londonderry,33954
130134,Texas,0500 Delladonna,78703
96159,Mississippi,60557 Beilfuss,39705
70765,California,113 Scofield,90010
112222,California,317 Pearson,92513
118144,Georgia,0013 Morningstar,30368
118497,Texas,5 Bay,77095
128307,California,15612 Warrior,92835
74999,Kentucky,91575 Melody,40546
103697,Minnesota,038 Green Ridge,55470
93682,Texas,40942 Golf View,78759
119267,Texas,248 Cardinal,76105
126993,Louisiana,477 Brickson Park,70174
107482,Georgia,74378 Clyde Gallagher,30368
133229,Virginia,626 Pine View,23514
112110,New York,79 Transport,10606
114862,Texas,937 Eagle Crest,77035
103086,New Mexico,07 Moulton,87121
80115,Texas,62661 Prairie Rose,78759
117446,New Jersey,07194 Bellgrove,08650
128537,Texas,5132 Scoville,75062
95396,Georgia,97 Declaration,30301
114629,California,331 Westridge,94297
104491,Michigan,0 Ronald Regan,48242
120341,Texas,20 Dapin,77305
90765,Texas,4 Porter,77713
136783,Ohio,07 Pawling,43699
123561,Virginia,1 High Crossing,24020
119317,Maryland,09078 Quincy,21290
104715,Alabama,2165 Gina,35244
108668,Minnesota,245 Kings,55172
146012,Texas,81788 Transport,75037
112609,Wisconsin,45256 Little Fleur,53779
138987,Texas,36887 Northfield,79923
93252,Pennsylvania,9 Luster,16534
129885,Tennessee,9 Longview,38181
104474,California,0699 Fair Oaks,94132
125751,Alabama,6 Warbler,35263
125915,California,4 Sherman,93591
100060,North Carolina,28 Upham,27116
139840,New York,872 Bluejay,10557
113253,West Virginia,21007 Erie,25721
89779,New Jersey,60 Loeprich,08650
87046,Louisiana,645 Ridgeway,71151
103320,Massachusetts,59999 Melrose,02216
84556,New York,19 Lakeland,10009
98468,Texas,3 Laurel,77025
148980,Virginia,6768 Stoughton,23260
139232,Texas,115 Utah,79165
72973,Delaware,6 Fisk,19892
83548,Pennsylvania,22066 Eastwood,19109
83004,New York,87367 Grayhawk,10469
98882,Arizona,2 Chive,85297
75708,Ohio,30 Mallory,45208
145848,California,04 Lakeland,91841
80721,Connecticut,47 Fordem,06859
110072,Texas,8439 Monterey,77505
133279,Michigan,85241 Farmco,48901
113722,Alabama,7327 Laurel,36114
133305,Ohio,8084 Hauk,43615
119871,Montana,2692 Mendota,59105
103360,Kansas,31828 Corscot,66286
117559,Texas,499 Pine View,79188
138235,New York,4 High Crossing,13505
113430,Texas,02403 Westend,78285
108459,Michigan,7 Hanover,48211
132645,Minnesota,3 Merry,55428
100773,Oklahoma,3 Randy,73135
75746,Ohio,25606 Carpenter,44329
